date,Open,High,Low,Close,Volume
"2018-09-20,四",8241.7,8295.13,8218.38,8233.89,17780699000
"2018-09-21,五",8258.02,8419.47,8216.68,8409.18,19759413000
"2018-09-25,二",8336.75,8390.65,8311.93,8353.38,14997013000
"2018-09-26,三",8369.52,8485.68,8344.72,8420.54,18289718000
"2018-09-27,四",8411.18,8434.87,8331.78,8334.75,19135563000
"2018-09-28,五",8351.63,8405.98,8317.48,8401.09,15551537000
"2018-10-08,一",8225.84,8249.39,8055.98,8060.83,16459032000
"2018-10-09,二",8083.23,8132.15,8013.19,8046.39,13462190000
"2018-10-10,三",8062.46,8090.22,7952.13,8010.69,13930039000
"2018-10-11,四",7753.03,7803.29,7481.89,7524.09,23496764000
"2018-10-12,五",7484.86,7595.93,7331.81,7558.28,21008427000
"2018-10-15,一",7571.71,7622.03,7430.96,7444.48,15750789000
"2018-10-16,二",7444.94,7493.15,7263.29,7298.98,15766505000
"2018-10-17,三",7390.69,7419.21,7206.34,7365.21,17130015000
"2018-10-18,四",7309,7316.19,7182.39,7187.49,16245334000
"2018-10-19,五",7097.04,7390.92,7084.44,7387.74,18479433000
"2018-10-22,一",7464.92,7816.82,7464.92,7748.82,25788293000
"2018-10-23,二",7752.18,7769.52,7523.07,7574.99,22126720000
"2018-10-24,三",7531.6,7653.24,7484.63,7545.11,18317008000
"2018-10-25,四",7334.52,7543.11,7305.77,7529.41,19170340000
"2018-10-26,五",7582.77,7621.38,7476.13,7504.72,18435699000
"2018-10-29,一",7449.64,7450.38,7290.82,7322.24,15511407000
"2018-10-30,二",7271.96,7451.66,7189.35,7375.23,18885767000
"2018-10-31,三",7385.98,7526.6,7373.75,7482.83,19447833000
"2018-11-01,四",7568.2,7689.57,7558.4,7567.79,23578544000
"2018-11-02,五",7763.49,7867.54,7709.44,7867.54,26829964000
"2018-11-05,一",7831.82,7895.54,7733.14,7839.08,25978688000
"2018-11-06,二",7807.09,7807.09,7701.51,7791.25,21042286000
"2018-11-07,三",7783.13,7871.17,7745.39,7752.04,22664051000
"2018-11-08,四",7813.63,7823.6,7692.34,7698.02,20920217000
"2018-11-09,五",7650.17,7705.26,7626.17,7648.55,19379553000
"2018-11-12,一",7634.82,7832.82,7622.47,7832.29,24965288000
"2018-11-13,二",7733.11,8008.11,7718.68,7963.66,35381538000
"2018-11-14,三",7942.08,7990.45,7894.21,7908.55,31497161000
"2018-11-15,四",7889.92,8002.1,7884.34,8002.1,28194431000
"2018-11-16,五",8003.47,8116.73,7959.14,8062.29,31775073000
"2018-11-19,一",8050.55,8108.85,8014.57,8108.85,29538841000
"2018-11-20,二",8031.36,8054.24,7870.41,7879.52,28527710000
"2018-11-21,三",7786.78,7919.07,7776.56,7908.47,24114631000
"2018-11-22,四",7929.79,7950.97,7857.81,7893.99,22493902000
"2018-11-23,五",7882.85,7889.13,7616.47,7636.7,26351972000
"2018-11-26,一",7627.4,7682.2,7586.6,7615.91,18475618000
"2018-11-27,二",7657.8,7682.76,7589,7635.16,18330630000
"2018-11-28,三",7633.37,7757.07,7572.65,7757.07,21925893000
"2018-11-29,四",7800.57,7820.45,7597.01,7597.01,22262982000
"2018-11-30,五",7583.84,7688.88,7537.92,7681.75,18965582000
"2018-12-03,一",7901.83,7968.09,7835.23,7938.47,26793440000
"2018-12-04,二",7916.55,7954.31,7890.66,7953.72,22587305000
"2018-12-05,三",7825.12,7972.98,7808.74,7928.51,22599654000
"2018-12-06,四",7854.59,7872.45,7725.99,7735.05,20908220000
"2018-12-07,五",7741.73,7765.14,7712.27,7733.89,16746685000
"2018-12-10,一",7663.26,7698.53,7606,7624.86,16858504000
"2018-12-11,二",7642.16,7685.4,7628.15,7685.4,16023376000
"2018-12-12,三",7721.82,7737.24,7675.26,7698.02,16236172000
"2018-12-13,四",7717.47,7849.66,7679.02,7808.04,19732592000
"2018-12-14,五",7785.29,7792.74,7624.72,7629.65,19943880000
"2018-12-17,一",7599.01,7618.68,7515.46,7592.65,15947345000
"2018-12-18,二",7540.96,7609.39,7473.45,7530.32,15660655000
"2018-12-19,三",7541.5,7548.72,7407.46,7418.69,14631127000
"2018-12-20,四",7402.2,7445.05,7363.77,7426.44,15347162000
"2018-12-21,五",7399.15,7405.27,7283.76,7337.6,16129910000
"2018-12-24,一",7315.26,7393.71,7293.15,7392.56,14385509000
"2018-12-25,二",7308.61,7362.07,7180.08,7332.35,19658347000
"2018-12-26,三",7323.99,7369.84,7277.56,7289.55,16133301000
"2018-12-27,四",7402.6,7415.92,7215.34,7215.34,17806458000
"2018-12-28,五",7229.87,7282.5,7174.9,7239.79,15583807000
"2019-01-02,三",7259.49,7266.47,7136.95,7149.27,14682648000
"2019-01-03,四",7134.15,7217.83,7081.83,7089.44,17315116000
"2019-01-04,五",7022.12,7284.84,7011.33,7284.84,23161690000
"2019-01-07,一",7333.32,7409.38,7303.46,7400.2,24868884000
"2019-01-08,二",7381.61,7412.19,7361.41,7391.65,22939400000
"2019-01-09,三",7425.64,7552.2,7404.49,7447.93,26676795000
"2019-01-10,四",7442.7,7491.69,7415.28,7428.61,22741363000
"2019-01-11,五",7441.18,7490.17,7404.31,7474.01,21710579000
"2019-01-14,一",7473.88,7488.36,7394.96,7409.2,21593477000
"2019-01-15,二",7403.79,7549.66,7386.15,7547.35,22311040000
"2019-01-16,三",7545.35,7586.66,7518.71,7540.45,21607643000
"2019-01-17,四",7534.04,7545.81,7463.99,7470.36,21023804000
"2019-01-18,五",7486.95,7584.76,7479.66,7581.39,22063082000
